epoch,f1_score,jaccard_coef,loss,precision,recall,val_f1_score,val_jaccard_coef,val_loss,val_precision,val_recall
0,0.9250906109809875,0.8464516401290894,0.5481265187263489,0.9262000322341919,0.9241387248039246,0.9327648878097534,0.8680784702301025,0.500895619392395,0.932865560054779,0.9326643943786621
1,0.9389763474464417,0.8811395168304443,0.48180004954338074,0.9390774965286255,0.9388760924339294,0.9395787715911865,0.882588267326355,0.4776685833930969,0.9396700859069824,0.9394873380661011
2,0.9433248043060303,0.8896101117134094,0.4578021466732025,0.9433944821357727,0.9432540535926819,0.9419136643409729,0.8871722221374512,0.45561710000038147,0.9419675469398499,0.9418601989746094
3,0.9459040760993958,0.8945845365524292,0.44361644983291626,0.9459614157676697,0.9458461403846741,0.9470100998878479,0.8972333073616028,0.45429009199142456,0.947063684463501,0.9469569325447083
4,0.9477240443229675,0.8981043100357056,0.4321318566799164,0.9477756023406982,0.9476731419563293,0.9479290246963501,0.899030327796936,0.4436455965042114,0.9480112791061401,0.9478468298912048
5,0.9493804574012756,0.9012839198112488,0.4223480522632599,0.9494243264198303,0.9493359327316284,0.9455427527427673,0.8945496678352356,0.45264115929603577,0.9455780386924744,0.9455077052116394
6,0.950694739818573,0.9038053154945374,0.4137188494205475,0.950737476348877,0.9506503343582153,0.9494824409484863,0.9016690850257874,0.4274910092353821,0.9495375156402588,0.949427604675293
7,0.9517437815666199,0.9058213829994202,0.4069540500640869,0.951784074306488,0.9517045021057129,0.9508830904960632,0.9045173525810242,0.4126538038253784,0.9509278535842896,0.9508382678031921
8,0.95285564661026,0.9079449772834778,0.39982786774635315,0.9528923630714417,0.9528177976608276,0.950442373752594,0.9037695527076721,0.41270846128463745,0.9504785537719727,0.950405478477478
9,0.9537433385848999,0.9096488952636719,0.39329013228416443,0.9537755250930786,0.9537075757980347,0.953639805316925,0.9096559882164001,0.39877691864967346,0.9536682963371277,0.9536115527153015
10,0.954491376876831,0.9110910892486572,0.388195276260376,0.9545227885246277,0.9544598460197449,0.9508874416351318,0.9047190546989441,0.40531060099601746,0.9509192705154419,0.9508559703826904
11,0.9551340341567993,0.9123106598854065,0.384141743183136,0.9551650285720825,0.9551010131835938,0.9524834156036377,0.9080508947372437,0.3969980478286743,0.9525119662284851,0.9524548053741455
12,0.9558907747268677,0.913764476776123,0.378836065530777,0.9559186100959778,0.9558640122413635,0.9536404013633728,0.9098747372627258,0.39422324299812317,0.9536717534065247,0.9536089301109314
13,0.9566367268562317,0.9152005910873413,0.37347689270973206,0.9566638469696045,0.9566105604171753,0.9516395926475525,0.9054294228553772,0.3888636529445648,0.9516686201095581,0.9516098499298096
14,0.9571856260299683,0.9162447452545166,0.3694516122341156,0.9572112560272217,0.9571584463119507,0.9542227983474731,0.9106355309486389,0.3877350986003876,0.9542582631111145,0.9541866779327393
15,0.957785427570343,0.9173889756202698,0.3648088872432709,0.957809329032898,0.9577621221542358,0.9523964524269104,0.9078178405761719,0.3861147165298462,0.9524230360984802,0.9523702263832092
16,0.9583444595336914,0.918454647064209,0.3608414828777313,0.9583670496940613,0.958319902420044,0.9533782601356506,0.9093457460403442,0.3840188682079315,0.9534081816673279,0.9533486366271973
17,0.9588539600372314,0.9194217324256897,0.35724106431007385,0.9588760137557983,0.9588322043418884,0.9527411460876465,0.9080212712287903,0.38018688559532166,0.9527696371078491,0.9527127742767334
18,0.9594226479530334,0.9205151796340942,0.35264667868614197,0.9594431519508362,0.9594011306762695,0.9561057686805725,0.9144231081008911,0.3705199062824249,0.9561320543289185,0.9560792446136475
19,0.9598289132118225,0.921295166015625,0.3499859571456909,0.9598491787910461,0.9598079919815063,0.955895721912384,0.9143922924995422,0.3757753372192383,0.9559202194213867,0.95587158203125
20,0.9602087140083313,0.9220128655433655,0.3470502197742462,0.9602296352386475,0.9601891040802002,0.9543513059616089,0.9113585352897644,0.3751657009124756,0.9543724060058594,0.9543306827545166
21,0.9606345891952515,0.9228248000144958,0.3437330424785614,0.9606512188911438,0.9606170654296875,0.9560248851776123,0.9145258069038391,0.3683154284954071,0.9560486078262329,0.9560003280639648
22,0.9610529541969299,0.9236334562301636,0.33996331691741943,0.9610709547996521,0.9610345959663391,0.9565105438232422,0.9152570962905884,0.36562368273735046,0.956532895565033,0.9564885497093201
23,0.9615314602851868,0.9245477318763733,0.3368090093135834,0.9615477323532104,0.9615147709846497,0.9551862478256226,0.9129942655563354,0.3693830966949463,0.9552102088928223,0.9551624655723572
24,0.9619691371917725,0.9253872632980347,0.33279624581336975,0.9619844555854797,0.9619538187980652,0.957189679145813,0.9163979887962341,0.3648645579814911,0.957209050655365,0.957170307636261
